date,aapl,amzn
2010-01-05,0,0
2010-01-06,-0.015932462842788334,-0.018222554144884183
2010-01-07,-0.017757614611680975,-0.03502613890963405
2010-01-08,-0.011212581117856345,-0.008737864077669757
2010-01-11,-0.019952375968180912,-0.03272591486183717
2010-01-12,-0.03111916474774966,-0.054817027632561605
2010-01-13,-0.017430526481054955,-0.04167289021657947
2010-01-14,-0.023128401716558368,-0.05481702763256164
2010-01-15,-0.03948280824785417,-0.0563853622106049
2010-01-19,0.0030844410718024453,-0.05287528005974613
2010-01-20,-0.012406452794640897,-0.0665421956684093
2010-01-21,-0.029473911450701266,-0.06026885735623606
2010-01-22,-0.0777063271927988,-0.09902912621359224
2010-01-25,-0.05282473309608545,-0.10739357729648999
2010-01-26,-0.03943701590956674,-0.11359223300970879
2010-01-27,-0.03035377852208504,-0.0891710231516058
2010-01-28,-0.07051038831902884,-0.06467513069454822
2010-01-29,-0.10427896692484834,-0.06930545182972378
2010-02-01,-0.091816909148001,-0.11814787154592984
2010-02-02,-0.0865377067196987,-0.12374906646751312
2010-02-03,-0.07079168411136702,-0.11643017176997776
2010-02-04,-0.10434111366966725,-0.1400298730395819
2010-02-05,-0.08840865082687901,-0.1292008961911876
2010-02-08,-0.09466911764705895,-0.1333831217326365
2010-02-09,-0.0849971216244507,-0.1244212098581032
2010-02-10,-0.09001465354825224,-0.12942494398805093
2010-02-11,-0.07340838915637442,-0.10903659447348785
2010-02-12,-0.06541762612518331,-0.11224794622852899
2010-02-16,-0.05130704416998127,-0.12815533980582544
2010-02-17,-0.05527789407577985,-0.13726661687826755
2010-02-18,-0.05351161817040002,-0.12404779686333113
2010-02-19,-0.059389391877747784,-0.12823002240478001
2010-02-22,-0.06525081117856413,-0.12457057505601221
2010-02-23,-0.08093468704207687,-0.13032113517550448
2010-02-24,-0.06412889889051734,-0.11179985063480244
2010-02-25,-0.05784880678249985,-0.12315160567587785
2010-02-26,-0.04560589805317185,-0.121657953696789
2010-03-01,-0.025185786058195936,-0.07580283793876055
2010-03-02,-0.02583996231944773,-0.06840926064227072
2010-03-03,-0.023596137743353965,-0.06572068707991084
2010-03-04,-0.017149230688717078,-0.04600448095593769
2010-03-05,0.021355584048565586,-0.04316654219566888
2010-03-08,0.021960697090223413,-0.034204630321135604
2010-03-09,0.040372487963156234,-0.04383868558625901
2010-03-10,0.04887677935942989,-0.03121732636295811
2010-03-11,0.05196122043123239,-0.008289768483943876
2010-03-12,0.05709977496336547,-0.021433905899926116
2010-03-15,0.044202689972785585,-0.026587005227782675
2010-03-16,0.0470548984718436,-0.021657953696789387
2010-03-17,0.04551104249528914,-0.025018670649739286
2010-03-18,0.047987099644127194,-0.014413741598208378
2010-03-19,0.0367745185262709,-0.03241224794622928
2010-03-22,0.04845483567092235,-0.03151605675877592
2010-03-23,0.06532277056730076,-0.04055265123226362
2010-03-24,0.07004265229223273,-0.04966392830470571
2010-03-25,0.0573352784174159,0.0002987303958170871
2010-03-26,0.07719279882771521,0.0027632561613138637
2010-03-29,0.08415650512874086,0.0032113517550406163
2010-03-30,0.10029830437512993,0.014107542942493903
2010-03-31,0.09635035063847494,0.008065720687079432
2010-04-01,0.10088379212895013,-0.021508588498880266
2010-04-05,0.1126589648314831,-0.02389843166542245
2010-04-06,0.11756528679087175,0.006497386109036052
2010-04-07,0.12251740108854822,0.0013442867811794788
2010-04-08,0.11948202323633957,0.04682598954443559
2010-04-09,0.12807789930918878,0.04010455563853568
2010-04-12,0.1304165794431641,0.04861837191934226
2010-04-13,0.13106748482310956,0.040851381628080136
2010-04-14,0.1463032499476646,0.07162061239731102
2010-04-15,0.16139509629474447,0.08312173263629523
2010-04-16,0.15429074209754942,0.05587005227781882
2010-04-19,0.15275015700230132,0.05780433159073907
2010-04-20,0.14116142453422528,0.07102315160567534
